NAME                                                      READY   STATUS    RESTARTS   AGE     IP               NODE                          NOMINATED NODE   READINESS GATES
alertmanager-rancher-monitoring-alertmanager-0            2/2     Running   0          4m22s   10.42.4.48       prod-worker-02.ltc.bcit.ca    <none>           <none>
prometheus-rancher-monitoring-prometheus-0                3/3     Running   0          4m21s   10.42.3.222      prod-worker-01.ltc.bcit.ca    <none>           <none>
pushprox-kube-controller-manager-client-4zgbx             1/1     Running   0          4m24s   142.232.76.205   prod-manager-02.ltc.bcit.ca   <none>           <none>
pushprox-kube-controller-manager-client-msprs             1/1     Running   0          4m24s   142.232.76.38    prod-manager-01.ltc.bcit.ca   <none>           <none>
pushprox-kube-controller-manager-client-ndpg2             1/1     Running   0          4m24s   142.232.110.60   prod-manager-03.ltc.bcit.ca   <none>           <none>
pushprox-kube-controller-manager-proxy-5ff4db598b-c2s22   1/1     Running   0          4m24s   10.42.3.215      prod-worker-01.ltc.bcit.ca    <none>           <none>
pushprox-kube-etcd-client-b64tj                           1/1     Running   0          4m23s   142.232.110.60   prod-manager-03.ltc.bcit.ca   <none>           <none>
pushprox-kube-etcd-client-gc9x6                           1/1     Running   0          4m23s   142.232.76.38    prod-manager-01.ltc.bcit.ca   <none>           <none>
pushprox-kube-etcd-client-nsccv                           1/1     Running   0          4m23s   142.232.76.205   prod-manager-02.ltc.bcit.ca   <none>           <none>
pushprox-kube-etcd-proxy-545d8b577d-fgnww                 1/1     Running   0          4m24s   10.42.3.216      prod-worker-01.ltc.bcit.ca    <none>           <none>
pushprox-kube-proxy-client-5f65g                          1/1     Running   0          4m23s   142.232.110.60   prod-manager-03.ltc.bcit.ca   <none>           <none>
pushprox-kube-proxy-client-9vvnm                          1/1     Running   0          4m23s   142.232.76.205   prod-manager-02.ltc.bcit.ca   <none>           <none>
pushprox-kube-proxy-client-bdp9c                          1/1     Running   0          4m23s   142.232.110.58   prod-worker-03.ltc.bcit.ca    <none>           <none>
pushprox-kube-proxy-client-fb79m                          1/1     Running   0          4m23s   142.232.76.38    prod-manager-01.ltc.bcit.ca   <none>           <none>
pushprox-kube-proxy-client-ftnrg                          1/1     Running   0          4m23s   142.232.110.64   prod-worker-01.ltc.bcit.ca    <none>           <none>
pushprox-kube-proxy-client-xhdzt                          1/1     Running   0          4m23s   142.232.110.65   prod-worker-02.ltc.bcit.ca    <none>           <none>
pushprox-kube-proxy-proxy-6b4f9d866-8rf2w                 1/1     Running   0          4m23s   10.42.3.220      prod-worker-01.ltc.bcit.ca    <none>           <none>
pushprox-kube-scheduler-client-5nhwm                      1/1     Running   0          4m23s   142.232.76.38    prod-manager-01.ltc.bcit.ca   <none>           <none>
pushprox-kube-scheduler-client-fmn5f                      1/1     Running   0          4m23s   142.232.76.205   prod-manager-02.ltc.bcit.ca   <none>           <none>
pushprox-kube-scheduler-client-xswst                      1/1     Running   0          4m23s   142.232.110.60   prod-manager-03.ltc.bcit.ca   <none>           <none>
pushprox-kube-scheduler-proxy-659db476b8-ljrhm            1/1     Running   0          4m23s   10.42.3.219      prod-worker-01.ltc.bcit.ca    <none>           <none>
rancher-monitoring-grafana-7f674cfcb4-8nsmr               3/3     Running   0          4m24s   10.42.4.49       prod-worker-02.ltc.bcit.ca    <none>           <none>
rancher-monitoring-kube-state-metrics-5cc64fcff7-btq6v    1/1     Running   0          4m24s   10.42.3.217      prod-worker-01.ltc.bcit.ca    <none>           <none>
rancher-monitoring-operator-85949f6d8b-z8bln              1/1     Running   0          4m23s   10.42.3.221      prod-worker-01.ltc.bcit.ca    <none>           <none>
rancher-monitoring-prometheus-adapter-54fc9cdd56-bkdsd    1/1     Running   0          4m24s   10.42.3.218      prod-worker-01.ltc.bcit.ca    <none>           <none>
rancher-monitoring-prometheus-node-exporter-2s5p7         1/1     Running   0          4m24s   142.232.110.58   prod-worker-03.ltc.bcit.ca    <none>           <none>
rancher-monitoring-prometheus-node-exporter-8czv2         1/1     Running   0          4m24s   142.232.76.205   prod-manager-02.ltc.bcit.ca   <none>           <none>
rancher-monitoring-prometheus-node-exporter-8fvzw         1/1     Running   0          4m24s   142.232.76.38    prod-manager-01.ltc.bcit.ca   <none>           <none>
rancher-monitoring-prometheus-node-exporter-bn5d9         1/1     Running   0          4m24s   142.232.110.60   prod-manager-03.ltc.bcit.ca   <none>           <none>
rancher-monitoring-prometheus-node-exporter-kc595         1/1     Running   0          4m24s   142.232.110.64   prod-worker-01.ltc.bcit.ca    <none>           <none>
rancher-monitoring-prometheus-node-exporter-ld9mw         1/1     Running   0          4m24s   142.232.110.65   prod-worker-02.ltc.bcit.ca    <none>           <none>
